	authors	date	fast_subjects	genders	owi	rank	streak	title	year	year_pub	genre	gender
33541	['Danielle Steel']	2016-04-17	set(['Man-woman relationships', 'New York (State)--New York', 'Legacies', 'Law clerks', 'Women immigrants', 'Heirlooms', 'Young women', 'Safe-deposit boxes', 'Love-letters'])	[{'gender': 'Female', 'viaf': '100238676', 'name': 'Danielle Steel'}]	2595808053	9	3	PROPERTY OF A NOBLEWOMAN	2016	2016	no genre	Female
33542	['Karen Kingsbury']	2016-04-17	set(['Miracles', 'Baseball players', 'Life change events', 'Guardian angels', 'Women social workers', 'California', 'Uganda', 'Orphanages', 'Heart--Transplantation--Patients'])	[{'gender': 'Female', 'viaf': '69207468', 'name': 'Karen Kingsbury'}]	2495880606	10	1	BRUSH OF WINGS	2016	2016	no genre	Female
33543	['C. J. Box']	2016-04-17	set(['Suspense fiction', 'Wyoming', 'Wyoming--Red Desert (Desert)', 'Terrorism--Prevention', 'Game wardens', 'Pickett, Joe (Fictitious character)'])	[{'gender': 'Male', 'viaf': '102403163', 'name': 'C. J. Box'}]	3914174866	11	4	OFF THE GRID	2016	2016	no genre	Male
33544	['Jojo Moyes']	2016-04-17	set(['Self-help groups', 'Man-woman relationships', 'England', 'England--London', 'Romance fiction', 'Interpersonal relations', 'Life change events', 'Young women', 'Families'])	[{'gender': 'Female', 'viaf': '90779697', 'name': 'Jojo Moyes'}]	2518899466	12	9	AFTER YOU	2016	2015	no genre	Female
33545	['Philip Kerr']	2016-04-17	set(['Gunther, Bernhard (Fictitious character)', 'Private investigators', 'Maugham, W. Somerset (William Somerset), 1874-1965', 'Great Britain. MI6', 'France', 'Germany', 'Extortion investigation', 'France--Riviera'])	[{'gender': 'Male', 'viaf': '24671640', 'name': 'Philip Kerr'}]	2845982710	13	1	THE OTHER SIDE OF SILENCE	2016	2016	no genre	Male
33546	['Jim Harrison']	2016-04-17	set(['Short stories, American', 'Cults', 'Missing children', 'Montana', 'Authors', 'Childlessness'])	[{'gender': 'Male', 'viaf': '73854596', 'name': 'Jim Harrison'}]	2564668753	14	1	THE ANCIENT MINSTREL	2016	1801	no genre	Male
33547	['Brad Meltzer']	2006-10-01	set(['Washington (D.C.)', 'Freemasons', 'Presidents--Assassination attempts', 'Political fiction', 'Ciphers', 'Florida--Palm Beach', 'United States', 'Jefferson, Thomas, 1743-1826', 'Presidents--Staff', 'Conspiracies'])	[{'gender': 'Male', 'viaf': '71553587', 'name': 'Brad Meltzer'}]	48534917	2	2	THE BOOK OF FATE	2006	1934	no genre	Male
33548	['Tess Gerritsen']	2006-10-01	set(['Women detectives', 'Serial murders', 'Serial murder investigation', 'Isles, Maura (Fictitious character)', 'Massachusetts--Boston', 'Satanism--Rituals', 'Medical examiners (Law)', 'Rizzoli, Jane, Detective (Fictitious character)'])	[{'gender': 'Female', 'viaf': '101994701', 'name': 'Tess Gerritsen'}]	53712972	3	1	THE MEPHISTO CLUB	2006	2006	no genre	Female
33549	['Anna Quindlen']	2006-10-01	set(['Mothers and sons', 'New York (State)--New York', 'Journalists', 'Success', 'Depression in adolescence', 'Women social workers', 'Sisters', 'Women journalists', 'Fear', 'Families', 'Social workers'])	[{'gender': 'Female', 'viaf': '40314167', 'name': 'Anna Quindlen'}]	50868570	4	3	RISE AND SHINE	2006	2006	no genre	Female
33550	['James Patterson', 'Andrew Gross']	2006-10-01	set([])	[]		5	7	JUDGE & JURY	2006	[]	needs label	NA
33551	['Christine Feehan']	2006-10-01	set(['Europe--Carpathian Mountains', 'Man-woman relationships', 'Vampires', 'Telepathy'])	[{'gender': 'Female', 'viaf': '42889047', 'name': 'Christine Feehan'}]	119510548	6	2	DARK CELEBRATION	2006	2006	no genre	Female
33552	['Sandra Brown']	2006-10-01	"set([""Judges' spouses"", 'Judges', 'Murder', 'Police', 'Murder--Investigation', 'Homicide investigation', 'Deception', 'Criminal investigation', 'Georgia--Savannah'])"	[{'gender': 'Female', 'viaf': '114156159', 'name': 'Sandra Brown'}]	53132635	7	5	RICOCHET	2006	1997	no genre	Female
33553	['Jennifer Weiner']	2006-10-01	set(['Divorce', 'Single women', 'Single people', 'Radio game shows', 'Chick lit', 'Short stories'])	[{'gender': 'Female', 'viaf': '24815905', 'name': 'Jennifer Weiner'}]	198068764	8	2	THE GUY NOT TAKEN	2006	2005	no genre	Female
33554	['Claire Messud']	2006-10-01	set(['New York (State)--New York', 'Cousins', 'Female friendship', 'September 11 Terrorist Attacks (2001)', 'New York (State)--New York--Manhattan', 'Manners and customs', 'Friendship', 'Psychological aspects'])	[{'gender': 'Female', 'viaf': '119451282', 'name': 'Claire Messud'}]	47131375	9	3	THE EMPEROR'S CHILDREN	2006	1899	no genre	Female
