10	LOVE IN THE TIME OF CHOLERA, by Gabriel Garcia Marquez. (Knopf, $18.95.)	8	19
""	A Colombian poet's perdurable love for a woman is tested by life's changing		
""	conditions.		
""			
11	DEMON LORD OF KARANDA, by David Eddings. (Del Rey/Ballantine, $18.95.)	--	1
""	The battle for control of a continent continues in the fantasy saga ''The Malloreon.''		
""			
12	THE ICARUS AGENDA, by Robert Ludlum. (Random House, $19.95.) A	12	25
""	congressman's secret dealings with terrorists may bring him the Presidency - or		
""	death.		
""			
13	THE SHELL SEEKERS, by Rosamunde Pilcher. (St. Martin's, $19.95.) A woman	13	28
""	and a painting tie together three generations of an English family.		
""			
14	SHINING THROUGH, by Susan Isaacs. (Harper & Row, $18.95.) The progress of	10	2
This	August 28, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	1	19
""	British scientist's review of efforts to create a unified theory of the universe.		
""			
2	TRUMP, by Donald J. Trump with Tony Schwartz. (Random House, $19.95.) The	4	37
""	career and business style of the New York entrepreneur.		
""			
3	GENERATION OF SWINE, by Hunter S. Thompson. (Summit, $18.95.)	3	7
""	Commentary on the current decade.		
""			
4	TALKING STRAIGHT, by Lee Iacocca with Sonny Kleinfield. (Bantam, $21.95.)	2	11
""	More experiences and opinions of the Chrysler chairman.		
""			
5	THE DUCHESS OF WINDSOR, by Charles Higham. (McGraw-Hill, $17.95.) The	5	6
""	life of the woman from Baltimore who married King Edward VIII.		
""			
6	THRIVING ON CHAOS, by Tom Peters. (Knopf, $19.95.) The author discusses	10	41
""	ways for companies to survive in today's and tomorrow's turbulent world.		
""			
7	RIDING THE IRON ROOSTER, by Paul Theroux. (Putnam, $21.95.) A yearlong	6	11
""	journey by train through China.		
""			
8	ALMOST GOLDEN, by Gwenda Blair. (Simon & Schuster, $18.95.) The career of	14	4
""	the television anchorwoman Jessica Savitch and the ways of newscasting during		
""	the past two decades.		
""			
9	THE RAGMAN'S SON, by Kirk Douglas. (Simon & Schuster, $21.95.) The actor	--	1
""	recalls his life as poor immigrant's son, waiter, steel mill worker, haberdashery		
""	salesman, film star, father and man.		
""			
10	PICASSO, by Arianna Stassinopoulos Huffington. (Simon & Schuster, $22.95.) A	12	10
""	portrait of the artist as ''creator and destroyer.''		
""			
11	FIREFIGHTERS, by Dennis Smith. (Doubleday, $18.95.) Three dozen men and	11	2
""	women from all parts of the country recall their most exciting experiences.		
""			
12	THE RISE AND FALL OF THE GREAT POWERS, by Paul Kennedy. (Random	9	30
""	House, $24.95.) How economic and military forces affected the fortunes of great		
""	nations in the past 500 years.		
""			
13	CAPOTE, by Gerald Clarke. (Simon & Schuster, $22.95.) The life of Truman	8	10
""	Capote.		
""			
14	SENATORIAL PRIVILEGE, by Leo Damore. (Regnery Gateway, $19.95.) A	7	3
""	reporter's reassessment of the 1969 accident on Chappaquiddick Island.		
""			
15	A TRAIL OF MEMORIES, edited by Angelique L'Amour. (Bantam, $12.95.)	13	11
""	Quotations from the works of Louis L'Amour, compiled by his daughter.		
